Time,vcu.INS.pitch_rate
746760090,0.00304235750809312
746762328,0.00371281267143786
746780250,0.013296764343977
746782334,0.0200228579342365
746784972,0.0298966243863106
746800256,0.064443401992321
746802282,0.0769958272576332
746820266,0.130098074674606
746822319,0.128172919154167
746824938,0.121308900415897
746827358,0.119037389755249
746835096,0.103889219462872
746837482,0.0967943891882896
746860295,-0.0164989661425352
746862297,-0.0228450354188681
746864896,-0.031750850379467
746867527,-0.048494677990675
746880326,-0.11927505582571
746882312,-0.132257133722305
746884935,-0.141242295503616
746900060,-0.186846613883972
746902401,-0.188249677419662
746904987,-0.191608786582947
746922492,-0.168103843927383
746924955,-0.160168185830116
746942561,-0.118384838104248
746944993,-0.112086027860641
746959812,-0.0833453312516212
746962314,-0.0803387388586998
746965036,-0.0859579667448998
746979892,-0.0696824938058853
746982285,-0.0683727785944939
746999971,0.0210834965109825
747002264,0.0360168591141701
747005088,0.049149077385664
747020877,0.0920570194721222
747023306,0.0923261642456055
747026108,0.0950042605400085
747040957,0.0819199755787849
747043279,0.0730718299746513
747060852,0.00800947658717632
747063305,-0.00172339496202767
747066274,-0.0192065481096506
747068317,-0.0333747901022434
747080922,-0.076931431889534
747083244,-0.0895310044288635
747100944,-0.104142375290394
747103247,-0.107211604714394
747106452,-0.100457429885864
747120945,-0.052876565605402
747123323,-0.0445629730820656
747140946,0.0154103953391314
747143286,0.0278308857232332
747160974,0.077829398214817
747163341,0.0782826542854309
747180865,0.0370304994285107
747183249,0.0318988747894764
747200827,-0.0315112918615341
747220908,-0.0871497020125389
747223344,-0.0944603309035301
747241090,-0.0857426524162292
747261073,-0.058435469865799
747263288,-0.0497554466128349
747281153,-0.0114781847223639
747301147,0.0359028168022633
747303289,0.0425266399979591
747306115,0.0524444095790386
747321229,0.0735495612025261
747341396,0.0906424000859261
747343614,0.0824077874422073
747360819,0.0558623149991035
747380840,0.0278010256588459
747383572,0.0292288009077311
747386051,0.0303305126726627
747403719,0.0219718497246504
747406085,0.0187121368944645
747420902,0.0260202344506979
747441068,0.0495878681540489
747443650,0.0516843684017658
747445930,0.051459051668644
747460844,0.0577188171446323
747463752,0.0568748190999031
747465932,0.0517468452453613
747468356,0.0560978502035141
747470792,0.0599543415009975
747480840,0.0523167327046394
747483827,0.0450404696166515
747485931,0.0460726879537106
747503310,0.029472753405571
747506085,0.0324922949075699
747508318,0.0286593642085791
747520812,0.0301198828965425
747523415,0.0261029694229364
