Time,vcu.INS.pitch
613013234,-1.83359134197235
613015597,-1.83351802825928
613017980,-1.83349418640137
613020690,-1.83307027816772
613022904,-1.83302056789398
613025597,-1.83300113677979
613027976,-1.83289802074432
613030668,-1.8327249288559
613040672,-1.83199262619019
613043277,-1.83182632923126
613045520,-1.83182334899902
613060711,-1.83200478553772
613062955,-1.83187472820282
613065537,-1.83168113231659
613067995,-1.83178389072418
613080471,-1.83237683773041
613082933,-1.83237683773041
613100479,-1.83241772651672
613102922,-1.83227026462555
613105580,-1.83241581916809
613108029,-1.83243811130524
613117969,-1.83267819881439
613120489,-1.8325799703598
613122924,-1.83250081539154
613125658,-1.83275032043457
613128210,-1.83267438411713
613157977,-1.83227908611298
613160522,-1.83238852024078
613162927,-1.83271086215973
613165589,-1.83288669586182
613180471,-1.83274412155151
613182918,-1.83281111717224
613185580,-1.83231639862061
613187996,-1.83224189281464
613190621,-1.83167600631714
613200536,-1.83172428607941
613202901,-1.83159816265106
613205581,-1.83151710033417
613208029,-1.83160090446472
613210478,-1.83141422271729
613212953,-1.83162546157837
613215580,-1.83141326904297
613217968,-1.83141326904297
613240487,-1.83112323284149
613242995,-1.83111345767975
613245525,-1.83123385906219
613247998,-1.83147537708282
613262916,-1.83199286460876
613265606,-1.83229720592499
613268001,-1.83239471912384
613280469,-1.83336293697357
613283011,-1.83341920375824
613285581,-1.83314406871796
613297985,-1.83328986167908
613300488,-1.8336580991745
613310442,-1.8341338634491
613312942,-1.8341805934906
613340498,-1.83672678470612
613342997,-1.8369357585907
613345588,-1.83686935901642
613362937,-1.8369015455246
613365535,-1.83673739433289
613377996,-1.83572673797607
613380445,-1.83546805381775
613382992,-1.83549308776855
613400483,-1.83485460281372
613402927,-1.83494305610657
613405611,-1.8347669839859
613410497,-1.83490633964539
613412963,-1.83478975296021
613415524,-1.83438360691071
613418035,-1.83460199832916
613420449,-1.83459150791168
613440469,-1.83617973327637
613442967,-1.83634305000305
613445530,-1.83660507202148
613448031,-1.83663392066956
613450469,-1.83669626712799
613460692,-1.8371045589447
613462903,-1.83728575706482
613465522,-1.83697521686554
613467996,-1.83707940578461
613480468,-1.83890497684479
613482933,-1.83903884887695
613485600,-1.83948171138763
613487997,-1.83934724330902
613490616,-1.83979332447052
613502906,-1.84008193016052
613505522,-1.84002685546875
613508094,-1.83982217311859
613510450,-1.83949494361877
613512962,-1.83962428569794
613515523,-1.83954465389252
613538105,-1.83967244625092
613540478,-1.83933424949646
613543001,-1.83933424949646
613545582,-1.8394650220871
613548035,-1.83880996704102
613560542,-1.83612143993378
613562907,-1.83620250225067
613565530,-1.83567130565643
613567995,-1.83564698696136
613570481,-1.83520007133484
613580476,-1.83583629131317
613582970,-1.83604800701141
613585696,-1.83558619022369
613600468,-1.83576774597168
613602904,-1.83591651916504
613605523,-1.83573687076569
613612938,-1.83616971969604
613615528,-1.8360298871994
613618017,-1.83577179908752
613620474,-1.83596670627594
613640470,-1.8369128704071
613642999,-1.83696353435516
613645606,-1.83716118335724
613647997,-1.83716118335724
613650470,-1.83769857883453
613652906,-1.83773803710938
613660540,-1.83779907226563
613662903,-1.83764719963074
613680470,-1.83883535861969
613682939,-1.83883535861969
613685543,-1.83892953395844
613688178,-1.83912289142609
613700478,-1.84028398990631
613702903,-1.84028720855713
613705606,-1.84028935432434
613708262,-1.84016466140747
613710467,-1.84015035629272
