Time,vcu.INS.vz
614182942,-0.035516519099474
614185626,-0.0354994088411331
614187947,-0.035509817302227
614197993,-0.0358628965914249
614200559,-0.0358153060078621
614202904,-0.0358233489096165
614205638,-0.0359283611178398
614207974,-0.0361259244382381
614210503,-0.0361835956573486
614212907,-0.0362568348646164
614215672,-0.0363630428910255
614218139,-0.036404512822628
614238197,-0.0363653488457203
614240504,-0.0363521203398705
614242956,-0.0363642461597919
614245753,-0.0363653600215912
614262923,-0.0361853055655956
614265813,-0.0362043939530849
614267973,-0.0361653119325638
614270475,-0.0361778438091278
614280470,-0.0365678817033768
614282966,-0.0366186797618866
614285824,-0.036632277071476
614300504,-0.037094920873642
614302961,-0.0371184311807156
614305779,-0.0371002033352852
614308029,-0.0371132604777813
614310499,-0.037126712501049
614313003,-0.0371656753122807
614315783,-0.0371807254850864
614317977,-0.0372078716754913
614340476,-0.0376123413443565
614358202,-0.0381092913448811
614360527,-0.0381172522902489
614362937,-0.0368409119546413
614365511,-0.0367982052266598
614368026,-0.0368822254240513
614380467,-0.0368933044373989
614382910,-0.0368846282362938
614385798,-0.0370091646909714
614387997,-0.0370589345693588
614390627,-0.0369905717670918
614400537,-0.0368756391108036
614402931,-0.0368279293179512
614405809,-0.0367856174707413
614408174,-0.036733154207468
614410471,-0.0365853421390057
614412954,-0.0366192162036896
614415577,-0.0365967787802219
614420726,-0.0365729779005051
614422904,-0.036562118679285
614425578,-0.0364923849701881
614427973,-0.0364560335874558
614430490,-0.0365223288536072
614460533,-0.0370396412909031
614462904,-0.03706294298172
614465604,-0.0370637439191341
614467993,-0.0371651649475098
614470479,-0.0373138450086117
614480519,-0.0375295244157314
614482967,-0.0375681519508362
614503026,-0.0380023531615734
614505526,-0.0379965044558048
614510470,-0.037812314927578
614513067,-0.0377168692648411
614515581,-0.0377179011702538
614517976,-0.0376806780695915
614520671,-0.0376334078609943
614522903,-0.0376591607928276
614540514,-0.0373606905341148
614542953,-0.0372554212808609
614545523,-0.0371616706252098
614562931,-0.0348579771816731
614565633,-0.0349959060549736
614588190,-0.0354816392064095
614590534,-0.0356178842484951
615286099,-0.0411433726549149
615440557,-0.0404341071844101
615725629,-0.0409884192049503
615728098,-0.0410446636378765
615730578,-0.0409890748560429
615748070,-0.0413192324340343
615762990,-0.0383487939834595
615765650,-0.0384152233600616
615768125,-0.038432952016592
615770554,-0.0385409668087959
615773046,-0.0385974645614624
615775665,-0.0386449322104454
615778150,-0.038817074149847
615780553,-0.0388872474431992
615782990,-0.0390398874878883
615785847,-0.0391196236014366
615788080,-0.0391078740358353
615790601,-0.0391456373035908
615792989,-0.0391734018921852
615795757,-0.0391787961125374
615798082,-0.0391813032329082
615800630,-0.039256788790226
615805625,-0.0393097959458828
615808148,-0.0392918512225151
615810526,-0.0392924472689629
615813003,-0.0393133535981178
615815681,-0.0393192172050476
615818059,-0.039305966347456
615820747,-0.0394419841468334
615822981,-0.0394855514168739
615825711,-0.039462573826313
615830553,-0.0394464544951916
615833022,-0.0396048314869404
615835617,-0.0396614037454128
615843097,-0.0397072620689869
615845612,-0.0397216975688934
615848094,-0.0398250743746758
615850531,-0.0398325771093369
615858110,-0.0397790856659412
615860536,-0.0397450774908066
615863086,-0.0397056043148041
616043028,-0.0387443006038666
616045609,-0.0387569926679134
616048093,-0.038802083581686
616050561,-0.0388012081384659
616052989,-0.0388018563389778
616055722,-0.0388830676674843
616058083,-0.0389782749116421
616060576,-0.0390202961862087
616062996,-0.0389946363866329
616065688,-0.0390157401561737
616068129,-0.039092555642128
616070619,-0.0391323678195477
616073046,-0.039235670119524
616075611,-0.0393398217856884
616078119,-0.0393981374800205
616080554,-0.039455559104681
616082990,-0.0395490601658821
616085847,-0.0395088382065296
616088080,-0.0395308993756771
616090683,-0.0396511889994144
616092993,-0.0397587493062019
616095620,-0.0399129204452038
616098075,-0.0398711785674095
616100552,-0.0398492924869061
616103083,-0.0398549139499664
616105610,-0.039875254034996
616108080,-0.0398281440138817
616110553,-0.0399231463670731
616113019,-0.0399425737559795
616115610,-0.0399650782346725
616118083,-0.0400411523878574
616120669,-0.0400085747241974
616123017,-0.0400506444275379
616125616,-0.0400242358446121
616128122,-0.0400222912430763
616130554,-0.039906345307827
616133099,-0.0398244671523571
616135617,-0.0397777333855629
616138187,-0.039746917784214
616140560,-0.0397282429039478
616143012,-0.0397003404796124
616145609,-0.0395744815468788
616148291,-0.0383238606154919
616150584,-0.0382486321032047
616153028,-0.0382385440170765
616155816,-0.0382647141814232
616158050,-0.0381948761641979
616160556,-0.0381893441081047
616163069,-0.038154061883688
616165691,-0.0381530001759529
616168102,-0.0380558744072914
616170556,-0.0381202027201653
616173116,-0.0381591469049454
616175691,-0.0382834747433662
616178081,-0.0384316891431808
616180551,-0.0384891964495182
616183038,-0.0384336076676846
616185848,-0.0384889878332615
616188079,-0.0384913384914398
616190645,-0.0385221913456917
616192994,-0.0386232286691666
616195624,-0.0386667288839817
616198082,-0.0387518331408501
616200600,-0.0388607420027256
616203131,-0.0388749949634075
616205612,-0.0388720817863941
616208085,-0.0388741865754128
616210561,-0.0389650911092758
616213021,-0.0390472672879696
616215610,-0.0392456874251366
616218081,-0.039325412362814
616220668,-0.0393536165356636
616222989,-0.0393946953117847
616225607,-0.0394846983253956
616228220,-0.0395952016115189
616230599,-0.0396332144737244
616233009,-0.0396001040935516
616235693,-0.0395174138247967
616238150,-0.0395245030522347
616240585,-0.0395731255412102
616243053,-0.0396622233092785
616245665,-0.0397198051214218
616248231,-0.0397427938878536
616250574,-0.039774876087904
616252991,-0.0398635268211365
616255823,-0.0398370884358883
616258234,-0.0397728681564331
616260612,-0.0397860743105412
616262989,-0.0398131497204304
616265696,-0.0396702587604523
616268268,-0.0396398901939392
616270554,-0.0395641811192036
616273047,-0.0395415909588337
616275696,-0.0396222956478596
616278276,-0.0397650375962257
616280551,-0.03987817466259
616282989,-0.0399388149380684
616285847,-0.0398656874895096
616288282,-0.0397898368537426
616290625,-0.039713840931654
616292995,-0.0397467128932476
616295624,-0.0398080497980118
616298289,-0.0398261845111847
616300547,-0.0398881360888481
616303083,-0.0398273356258869
616305625,-0.0399562679231167
616308317,-0.0399700850248337
