Time,vcu.INS.yaw_rate
637965602,-0.0928474366664886
637980522,-0.0973739251494408
637982961,-0.0986790806055069
638000524,-0.0981325656175613
638003080,-0.0993690341711044
638005775,-0.0994435846805573
638008200,-0.0990850925445557
638010523,-0.0989589244127274
638013004,-0.0988358110189438
638015797,-0.0980079621076584
638018275,-0.0954546481370926
638043048,-0.09807238727808
638058364,-0.101343639194965
638060543,-0.100638158619404
638062978,-0.0998948737978935
638080543,-0.103138394653797
638082979,-0.103474341332912
638086011,-0.102885909378529
638100545,-0.103004164993763
638103073,-0.103277519345284
638106131,-0.104350551962852
638108286,-0.104655355215073
638110543,-0.104646593332291
638140548,-0.109618127346039
638143056,-0.108981564640999
638145604,-0.107659265398979
638148522,-0.106386505067348
638163049,-0.110898815095425
638165604,-0.109778359532356
638180565,-0.109277814626694
638182955,-0.111876599490643
638185816,-0.112304501235485
638200541,-0.112025648355484
638203071,-0.112589128315449
638205699,-0.113444484770298
638208612,-0.114405959844589
638210588,-0.114899277687073
638213012,-0.113727614283562
638238576,-0.114266648888588
638240575,-0.115526676177979
638243024,-0.116662673652172
638245596,-0.114970736205578
638248617,-0.113362617790699
638258682,-0.11386139690876
638260543,-0.114099457859993
638262976,-0.11448247730732
638278741,-0.115795440971851
638280558,-0.116669349372387
638282976,-0.116707012057304
638285831,-0.116431057453156
638300653,-0.120579846203327
638303070,-0.12052521109581
638313041,-0.119906201958656
638315616,-0.120126768946648
638340555,-0.123459905385971
638343011,-0.122833654284477
638345594,-0.121914982795715
638360541,-0.122363165020943
638363002,-0.122050665318966
638380520,-0.125684559345245
638383002,-0.125442981719971
638385905,-0.12478731572628
638400586,-0.129329174757004
638403063,-0.129449665546417
638405662,-0.12887816131115
638408467,-0.128918379545212
638410544,-0.129034161567688
638440547,-0.132374837994576
638443246,-0.132970616221428
638445598,-0.133734375238419
638448323,-0.134694486856461
638458364,-0.13185216486454
638460546,-0.13232596218586
638463320,-0.132970154285431
638465615,-0.13293531537056
638480550,-0.134379848837852
638500547,-0.13697661459446
638503069,-0.136929273605347
638505692,-0.13617879152298
638508287,-0.13628277182579
638513037,-0.137022465467453
638540549,-0.139443323016167
638543042,-0.140203759074211
638545757,-0.141477659344673
638570621,-0.142607510089874
638573033,-0.142997801303864
638575788,-0.141500174999237
638600580,-0.143080800771713
638603044,-0.14276659488678
638606014,-0.142630070447922
638610535,-0.145771518349648
638640606,-0.149920850992203
638643026,-0.150859415531158
638645593,-0.151454836130142
638662978,-0.150643020868301
638665614,-0.15059432387352
638680556,-0.151504725217819
638682978,-0.151223003864288
638700594,-0.152720645070076
638703125,-0.152204483747482
638705599,-0.151703268289566
638708573,-0.151670932769775
638710658,-0.150934368371964
638713008,-0.150415971875191
638715607,-0.152003616094589
638740660,-0.15395849943161
638743071,-0.154151484370232
638745636,-0.155545070767403
638760819,-0.156489431858063
638763010,-0.156864613294601
638765690,-0.156781494617462
638768116,-0.15684862434864
638780933,-0.15949647128582
638782978,-0.159554913640022
638800943,-0.161141961812973
638803068,-0.162809640169144
638805753,-0.162944585084915
638810930,-0.161911636590958
638813012,-0.163119673728943
638815795,-0.162994012236595
638840958,-0.162094607949257
638843092,-0.16430327296257
638845832,-0.165608942508698
638860966,-0.166887760162354
638863157,-0.166510701179504
638865872,-0.166239589452744
638868239,-0.166246235370636
638875881,-0.167659312486649
638878245,-0.168512403964996
638880793,-0.168337151408196
638900613,-0.169667840003967
638903269,-0.170404449105263
638905597,-0.170457243919373
638910650,-0.169975712895393
638913298,-0.16904678940773
638915609,-0.169932276010513
638940612,-0.173210397362709
638943313,-0.172733664512634
638945604,-0.172105818986893
638960692,-0.170919373631477
638963010,-0.170186504721642
638965610,-0.170268461108208
638980634,-0.171931028366089
638983007,-0.173029601573944
639000675,-0.175264522433281
639003073,-0.175048187375069
