Time,vcu.INS.vx
698844767,0.0149086741730571
698859700,0.0144607424736023
698862595,0.0143706658855081
698879707,0.0143062137067318
698882142,0.0143953999504447
698899706,0.0148791195824742
698902138,0.0148404082283378
698904903,0.0148518113419414
698907225,0.0148501386865973
698919702,0.0149709042161703
698922174,0.0150614604353905
698939865,0.0152474688366055
698959689,0.0151216238737106
698962230,0.011404481716454
698979704,0.0110986242070794
698982137,0.0110795199871063
698999702,0.0112170157954097
699002139,0.0112906182184815
699013126,0.0114367976784706
699016183,0.0115022631362081
699026224,0.0115913944318891
699028595,0.0116650611162186
699030687,0.0118014989420772
699033200,0.011767840012908
699038506,0.012020162306726
699040818,0.0121389590203762
699043155,0.0121908336877823
699058587,0.0123829171061516
699060679,0.0124072292819619
699063176,0.0125107280910015
699085861,0.0120960026979446
699093216,0.012005815282464
699103157,0.0118637150153518
699120684,0.0115940654650331
699123248,0.0115712536498904
699138979,0.0115372752770782
699140762,0.011635048314929
699143205,0.0116494679823518
699159047,0.0122430007904768
699160725,0.0123642757534981
699163220,0.0124824177473783
699180817,0.0128691550344229
699183150,0.0128123871982098
699185921,0.0128565076738596
699200913,0.0131658036261797
699203126,0.0132297025993466
699206001,0.0132518382743001
699208197,0.0132227949798107
699223216,0.0132514862343669
699225887,0.0131552312523127
699228231,0.0130951190367341
699243237,0.0127082439139485
699245810,0.0126107418909669
699258291,0.0122091863304377
699260854,0.0121468706056476
699263328,0.0120281679555774
699278219,0.0122405719012022
699280692,0.0123770283535123
699283334,0.0124459313228726
699285768,0.0124612106010318
699300690,0.0126694878563285
699303373,0.0126958964392543
699306067,0.0127679919824004
699323417,0.0128108598291874
699325959,0.0127967009320855
699340803,0.0130438599735498
699343209,0.0130851184949279
699345813,0.0132740819826722
699360666,0.0132094025611877
699363300,0.0131204407662153
699365800,0.0131415044888854
699380656,0.0130007285624743
699383368,0.0127398427575827
699385897,0.0127637404948473
699400695,0.0130547378212214
699403126,0.0130612151697278
699405962,0.0131375705823302
699420694,0.0130956415086985
699423218,0.0131069244816899
699426056,0.0129961501806974
699440890,0.0125608509406447
699443131,0.0125848334282637
699446068,0.0126077737659216
699458503,0.0126627339050174
699460697,0.0127293607220054
699463180,0.0127817681059241
699478567,0.013243205845356
699480694,0.0133002325892448
699483142,0.0135104013606906
699485815,0.0136194340884686
699500696,0.0136327762156725
699503181,0.0135809937492013
699520708,0.0135759031400085
699523194,0.0135498903691769
699525804,0.0135966837406158
699540738,0.0136637520045042
699560759,0.0159972701221704
699563244,0.0160304512828588
699565751,0.0160122830420733
699580770,0.0161486733704805
699600809,0.0162399467080832
699603296,0.0161610655486584
699605985,0.0161508079618216
699620869,0.0160704348236322
699640958,0.0158314108848572
699661029,0.0158038549125195
699663390,0.0158566255122423
699665748,0.0158306900411844
699681121,0.0158538818359375
699683127,0.0157942809164524
699701203,0.0159427430480719
699703126,0.0160076711326838
699705885,0.0159944165498018
699741360,0.0166826825588942
699760704,0.0130624733865261
699763224,0.0131566347554326
699765747,0.0131965856999159
699800706,0.0131665719673038
699803139,0.0131729235872626
699805960,0.0130937583744526
699820713,0.0126842884346843
699840787,0.0123528568074107
699843775,0.0123447868973017
699845854,0.0122651234269142
699860708,0.0124028129503131
699863198,0.0124443592503667
699865803,0.0125697292387486
699883127,0.0129160173237324
699885758,0.0129092847928405
699900824,0.0133184725418687
699920852,0.0139463152736425
699923178,0.013989370316267
699925887,0.0140383569523692
699941228,0.0142630878835917
699943223,0.014317087829113
699960748,0.0139844985678792
699963144,0.0139368427917361
699980830,0.0135002536699176
699983126,0.0134430825710297
700000722,0.0125452559441328
700003119,0.0124330874532461
700020904,0.012141059152782
700041020,0.0122658628970385
700043146,0.0123801678419113
700045756,0.0124764908105135
700063162,0.0129043599590659
700078883,0.0138106988742948
700080880,0.0138936452567577
700083131,0.0140369851142168
700101004,0.0146278310567141
700119070,0.0148229254409671
700138909,0.0146523285657167
700161096,0.00789069663733244
700163238,0.00786491669714451
700181097,0.00766731146723032
700201103,0.0077215158380568
700203132,0.00759068736806512
700205868,0.00763358734548092
700221222,0.00763849914073944
700223188,0.00772386975586414
700225757,0.00777714606374502
700241323,0.0076110097579658
700243203,0.00757253123447299
700245731,0.00758555438369513
700260799,0.00764397950842977
700275765,0.00815563462674618
700278541,0.0082189254462719
700280877,0.0082100834697485
700300786,0.00887766946107149
700320764,0.0089963898062706
700323187,0.00905794277787209
700325756,0.00911034550517797
700340935,0.00928306020796299
700360824,0.00890683196485043
700363201,0.0088658407330513
700380730,0.00718886964023113
700400826,0.00676053063943982
700403155,0.00668739248067141
700406048,0.00664263730868697
700408280,0.00656459620222449
700423226,0.00639229919761419
700425949,0.00647011073306203
700438588,0.00682119559496641
700440977,0.00693667540326715
700443177,0.00700856931507587
700460856,0.00717752007767558
700463169,0.00726966187357903
700465760,0.00742712197825313
700468600,0.00751262390986085
700480936,0.00780084822326899
700483128,0.00772517174482346
700498763,0.00791499298065901
700500809,0.00808682199567556
700503131,0.00820211600512266
700520895,0.00816204212605953
700523271,0.00805425550788641
700540866,0.00780298700556159
700560962,0.0076272850856185
700563226,0.00756278447806835
700565726,0.00752719631418586
700583131,0.00952973403036594
700585812,0.00955785065889359
700601112,0.0100909993052483
700603214,0.0102521758526564
700605847,0.0103911207988858
700621191,0.0104859098792076
700623245,0.0104601522907615
700639042,0.0105834379792213
700641273,0.0105650592595339
700643217,0.0105916792526841
700661357,0.0107728373259306
700663302,0.0107682999223471
700665811,0.0108697703108191
700668255,0.0109213991090655
700681369,0.0109152989462018
700683206,0.0109766144305468
700685810,0.0108721759170294
700701378,0.0106327068060637
700703464,0.0106849884614348
700721465,0.0105175459757447
700723467,0.0104330098256469
700725858,0.0103698298335075
700728224,0.0103035485371947
700731400,0.0104010300710797
700741406,0.0104314470663667
700743597,0.0105259390547872
700745835,0.0106513928622007
700760744,0.0108888670802116
700763607,0.0109041314572096
700765750,0.0109446058049798
700783584,0.00701360078528523
700785749,0.00700275041162968
700788245,0.00691115623340011
700790783,0.00688865222036839
700803582,0.00668063014745712
700805949,0.00666775042191148
700818174,0.00646414421498775
700820797,0.00652249017730355
700823241,0.00654987199231982
700838170,0.006364690605551
700841106,0.0063627022318542
700843738,0.00642205029726028
700845845,0.00646222336217761
700860695,0.00655329553410411
700863255,0.00661063427105546
700865806,0.00660648941993713
700880695,0.00673833908513188
700883143,0.00681633455678821
700885739,0.00698264501988888
700903222,0.00727549893781543
700920749,0.0075420867651701
700923221,0.00760770170018077
700925898,0.00765174021944404
700940809,0.0078889187425375
700943193,0.00787878688424826
700945990,0.00784602947533131
700960672,0.00796295236796141
700963272,0.00344858039170504
700980710,0.00311889825388789
700983185,0.00311083719134331
700985766,0.00312975002452731
700988477,0.00310613983310759
701000690,0.00305444956757128
701003268,0.00301441294141114
701005812,0.0029455223120749
701023200,0.00274980254471302
701058718,0.00248598540201783
701060693,0.00253033475019038
701078786,0.00269778165966272
701080719,0.00271575851365924
701083181,0.00270237750373781
701085761,0.00281626591458917
701120711,0.00351045862771571
701123208,0.00351789430715144
701125753,0.00356302037835121
701140810,0.00378811010159552
701145759,0.00363010563887656
701163317,0.00361303030513227
701180936,0.00450817588716745
701190985,0.00443563237786293
701193382,0.00435158284381032
701198264,0.00419745733961463
701200754,0.00424659112468362
701203389,0.00437111500650644
701205824,0.00439157709479332
701208223,0.00432881247252226
701221111,0.00433952547609806
701223431,0.00430393498390913
701225779,0.00439767073839903
701228294,0.0044749453663826
701243441,0.00466913031414151
701245843,0.00464992271736264
701258390,0.00483843684196472
701260696,0.00483824452385306
701263501,0.00490942830219865
701278199,0.00493566691875458
701280716,0.0049592237919569
701283584,0.00490981992334127
701285935,0.00487579358741641
701288227,0.00488922605291009
701363161,0.00544743705540895
701368291,0.00567935220897198
701370696,0.00571127189323306
701373163,0.00567639991641045
701376118,0.00559460278600454
701378192,0.00556412199512124
701380703,0.00561450608074665
701383131,0.00558188837021589
701386151,0.00411566207185388
701388242,0.00405899668112397
701390695,0.0040744380094111
701393228,0.00406567938625813
701396193,0.00412500370293856
701398268,0.0040153730660677
701400690,0.00399744603782892
701403133,0.00399283086881042
701420746,0.00385527941398323
701423174,0.00379395578056574
701438236,0.00370017602108419
701440916,0.00372752430848777
701443151,0.0037705625873059
701458500,0.00383068458177149
701460697,0.00389066501520574
701463174,0.00387313636019826
701478564,0.00364645151421428
701480768,0.00365727324970067
701483135,0.00376563076861203
701486311,0.0038004401139915
701500695,0.0036584825720638
701503149,0.0036967562045902
701520770,0.00400476949289441
701523188,0.00405201502144337
701538702,0.00417550234124064
701540949,0.00411835219711065
701543197,0.00411325786262751
701560695,0.00426051579415798
701563235,0.00417324714362621
701566114,0.00651813577860594
701580695,0.00647180015221238
701600693,0.00666522048413754
701603283,0.00657402025535703
701606086,0.00656375242397189
701608220,0.00663992622867227
701620766,0.00661739287897944
701640900,0.00665216147899628
701643356,0.00664738146588206
701646054,0.00668678805232048
701648220,0.00667525641620159
701660914,0.0066961026750505
701663422,0.006676877848804
701678207,0.00666622631251812
701680708,0.00652770465239882
701683122,0.0065564438700676
701686047,0.00655436888337135
701700695,0.00666565028950572
701703133,0.00665040267631412
701706298,0.00666214479133487
701720695,0.00677519757300615
701740854,0.00713456235826015
701743454,0.00715096853673458
701760675,0.00929612759500742
701763547,0.00934416707605124
701766170,0.00937000382691622
701768228,0.00930443964898586
701770713,0.00925790425390005
701780744,0.00933769345283508
701783124,0.00926505122333765
701800694,0.0089706052094698
701820692,0.00870099756866694
701823289,0.00865180045366287
701825793,0.00854511652141809
701840902,0.00838964898139238
701843132,0.00841420982033014
701845879,0.00838741473853588
701863155,0.00854184851050377
701866268,0.00858774315565825
701878496,0.00889491941779852
701880695,0.0090880123898387
701883130,0.00921638496220112
701886352,0.00924961548298597
701900693,0.0101462369784713
701903132,0.0102666988968849
701906426,0.0103670470416546
701920698,0.010622694157064
701923224,0.0106206368654966
701938628,0.0103015806525946
701940808,0.0102599030360579
701943185,0.0102380011230707
701960652,0.00643720990046859
701963200,0.00634742900729179
701966530,0.00630535278469324
701980669,0.00589254405349493
701983146,0.00579336378723383
701985818,0.0057212826795876
701988693,0.00572757422924042
702000672,0.00568263465538621
702003132,0.00572063447907567
702006696,0.00573568418622017
702020801,0.00567166320979595
702023224,0.00563434977084398
702025759,0.00561679294332862
702028623,0.00562190171331167
702040907,0.005698018707335
702043142,0.00574475759640336
702045764,0.00580574478954077
702063175,0.00602319650352001
702065772,0.00601185811683536
702078854,0.00625801272690296
702080812,0.00632245885208249
702083135,0.00639771483838558
702100895,0.00698262313380837
702103138,0.00708890706300735
702105970,0.00723753962665796
702121082,0.00765870232135057
702123227,0.00769934430718422
702141010,0.00782540161162615
702143166,0.00784418545663357
702158990,0.00787544343620539
702161024,0.00795394834131002
702163180,0.00455343956127763
702165733,0.00451821787282825
702168971,0.00447288295254111
702171057,0.00444110902026296
702181063,0.00421357806771994
